EUR;;Discount Curve;;
Source;;OIS EONIA;;
Day Count;;30/360;;
Curve Shift Type;;Parallel;;
Shift Curve (bp);;0,0;;
Tenor;Date;Rate;Shifted;Discount
1D;mai 07, 2019;-0,4199;-0,4141;1,0000115
2D;mai 08, 2019;-0,4375;-0,4316;1,0000240
1W;mai 15, 2019;-0,3845;-0,3793;1,0000950
2W;mai 22, 2019;-0,3779;-0,3728;1,0001660
3W;mai 29, 2019;-0,3753;-0,3702;1,0002370
1M;juin 10, 2019;-0,3723;-0,3780;1,0003577
2M;juil 08, 2019;-0,3707;-0,3715;1,0006412
3M;ao–t 08, 2019;-0,3700;-0,3729;1,0009551
4M;sept 09, 2019;-0,3697;-0,3736;1,0012795
5M;oct 08, 2019;-0,3705;-0,3727;1,0015777
6M;nov 08, 2019;-0,3705;-0,3734;1,0018931
7M;d‚c 09, 2019;-0,3715;-0,3732;1,0022149
8M;janv 08, 2020;-0,3724;-0,3749;1,0025280
9M;f‚vr 10, 2020;-0,3735;-0,3764;1,0028746
10M;mars 09, 2020;-0,3755;-0,3754;1,0031706
11M;avr 08, 2020;-0,3755;-0,3760;1,0034800
1Y;mai 08, 2020;-0,3765;-0,3765;1,0038000
1Y3M;ao–t 10, 2020;-0,3760;-0,3766;1,0047691
1Y6M;nov 09, 2020;-0,3719;-0,3729;1,0056514
1Y7M;d‚c 08, 2020;-0,3739;-0,3745;1,0059801
1Y8M;janv 08, 2021;-0,3718;-0,3728;1,0062655
1Y9M;f‚vr 08, 2021;-0,3647;-0,3660;1,0064576
2Y;mai 10, 2021;-0,3544;-0,3544;1,0071659
3Y;mai 09, 2022;-0,3006;-0,3006;1,0090987
4Y;mai 08, 2023;-0,2309;-0,2309;1,0093039
5Y;mai 08, 2024;-0,1469;-0,1469;1,0073856
6Y;mai 08, 2025;-0,0554;-0,0554;1,0033337
7Y;mai 08, 2026;0,0405;0,0405;0,9971672
8Y;mai 10, 2027;0,1436;0,1436;0,9885711
9Y;mai 08, 2028;0,2421;0,2421;0,9784580
10Y;mai 08, 2029;0,3356;0,3356;0,9670376
11Y;mai 08, 2030;0,4255;0,4255;0,9543492
12Y;mai 08, 2031;0,5086;0,5086;0,9409073
15Y;mai 08, 2034;0,7113;0,7113;0,8991005
20Y;mai 09, 2039;0,9085;0,9085;0,8344736
25Y;mai 09, 2044;0,9850;0,9850;0,7825971
30Y;mai 10, 2049;1,0063;1,0063;0,7404587
40Y;mai 08, 2059;1,0023;1,0023;0,6710112
50Y;mai 08, 2069;0,9817;0,9817;0,6135315
